Symbol,Company Name,Security Price,Required IV (%),Strike Price,Put Price,Contracts,Covered Amount,Monthly Income,Annualized Return (%),Delta
NVDA,NVIDIA Corporation,164.28259,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MSFT,Microsoft Corp,503.1494,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AAPL,Apple Inc,208.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMZN,Amazon.com Inc,225.2917,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
META,Meta Platforms Inc,720.2499,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AVGO,Broadcom Inc,275.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GOOGL,Alphabet Inc,181.68,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TSM,Taiwan Semiconductor Manufacturing Co Ltd,228.925,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TSLA,Tesla Inc,316.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GOOG,Alphabet Inc,182.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JPM,JPMorgan Chase & Co,288.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WMT,Walmart Inc,95.69,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LLY,Eli Lilly and Co,798.314,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
V,Visa Inc,350.9822,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ORCL,Oracle Corp,229.3355,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BRK/B,Berkshire Hathaway Inc,476.825,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NFLX,Netflix Inc,1262.46,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MA,Mastercard Inc,553.6217,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
XOM,Exxon Mobil Corp,113.8,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COST,Costco Wholesale Corp,979.15,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BRK/A,Berkshire Hathaway Inc,715602.7813,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JNJ,Johnson & Johnson,156.655,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PG,Procter & Gamble Co (The),153.9783,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HD,Home Depot Inc. (The),369.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BAC,Bank of America Corp,46.9817,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SAP,SAP SE,301.02,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABBV,AbbVie Inc,191.705,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PLTR,Palantir Technologies Inc,149.39,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ASML,ASML Holding NV,805.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KO,Coca-Cola Co (The),69.385,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PM,Philip Morris International Inc,180.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UNH,UnitedHealth Group Incorporated,299.92,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GE,GE Aerospace,261.81,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CVX,Chevron Corp,151.43,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CSCO,Cisco Systems Inc,67.645,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WFC,Wells Fargo & Co,83.3883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IBM,International Business Machines Corp,283.725,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TMUS,T-Mobile US Inc,228.205,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BABA,Alibaba Group Holding Ltd,108.215,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRM,SALESFORCE INC,259.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMD,Advanced Micro Devices Inc,146.3101,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NVS,Novartis AG,121.0347,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NVO,Novo Nordisk A/S,68.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABT,Abbott Laboratories,132.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MS,Morgan Stanley,143.64,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AXP,American Express Co,320.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TM,Toyota Motor Corp,171.8414,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
